기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,교통량(대)
2021,추석,D+3,7,19,260166
2021,설날,D-2,2,12,272894
2021,추석,D+2,6,23,59223
2021,설날,D,4,08,161779
2021,추석,D+3,7,20,200270
2021,추석,D+3,7,13,283648
2021,설날,D-2,2,01,29191
2021,추석,D-3,1,15,327847
2021,설날,D-1,3,15,282046
2021,추석,D-3,1,16,320174
2021,설날,D-1,3,11,303567
2021,추석,D+3,7,07,288815
2021,설날,D-3,1,03,21582
2021,설날,D+1,5,17,307637
2021,설날,D-2,2,17,335484
2021,설날,D,4,14,362386
2021,추석,D-1,3,05,53276
2021,설날,D+1,5,14,331326
2021,추석,D+2,6,05,115809
2021,설날,D-1,3,00,67122
