기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,통행시간(분)
2021,추석,D-1,3,16,303.216500000000000000000000
2021,추석,D-1,3,17,298.991500000000000000000000
2021,추석,D-1,3,18,287.533000000000000000000000
2021,추석,D-1,3,19,274.024500000000000000000000
2021,추석,D-1,3,20,264.866500000000000000000000
2021,추석,D-1,3,21,264.500000000000000000000000
2021,추석,D-1,3,22,274.600000000000000000000000
2021,추석,D-1,3,23,246.266000000000000000000000
2021,추석,D,4,00,219.458000000000000000000000
2021,추석,D,4,01,239.066500000000000000000000
2021,추석,D,4,02,248.516500000000000000000000
2021,추석,D,4,03,271.528750000000000000000000
2021,추석,D,4,04,252.408000000000000000000000
2021,추석,D,4,05,267.888666666666666666666666
2021,추석,D,4,06,282.194000000000000000000000
2021,추석,D,4,07,290.625000000000000000000000
2021,추석,D,4,08,303.416000000000000000000000
2021,추석,D,4,09,294.874500000000000000000000
2021,추석,D,4,10,301.000000000000000000000000
2021,추석,D,4,11,326.558000000000000000000000
2021,추석,D,4,12,345.999500000000000000000000
2021,추석,D,4,13,348.427666666666666666666666
2021,추석,D,4,14,369.949500000000000000000000
2021,추석,D,4,15,359.241500000000000000000000
2021,추석,D,4,16,345.858000000000000000000000
2021,추석,D,4,17,337.724500000000000000000000
2021,추석,D,4,18,327.999500000000000000000000
2021,추석,D,4,19,319.033333333333333333333333
2021,추석,D,4,20,348.916000000000000000000000
2021,추석,D,4,21,303.500000000000000000000000
2021,추석,D,4,22,286.183000000000000000000000
2021,추석,D,4,23,279.633000000000000000000000
2021,추석,D+1,5,00,269.300000000000000000000000
2021,추석,D+1,5,01,266.283000000000000000000000
2021,추석,D+1,5,02,263.250000000000000000000000
2021,추석,D+1,5,03,256.383000000000000000000000
2021,추석,D+1,5,04,265.983000000000000000000000
2021,추석,D+1,5,05,240.299500000000000000000000
2021,추석,D+1,5,06,237.783000000000000000000000
2021,추석,D+1,5,07,268.016000000000000000000000
2021,추석,D+1,5,08,242.083000000000000000000000
2021,추석,D+1,5,09,248.358000000000000000000000
2021,추석,D+1,5,10,247.999500000000000000000000
2021,추석,D+1,5,11,259.866000000000000000000000
2021,추석,D+1,5,12,262.166333333333333333333333
2021,추석,D+1,5,13,266.358000000000000000000000
2021,추석,D+1,5,14,270.541000000000000000000000
2021,추석,D+1,5,15,273.558000000000000000000000
2021,추석,D+1,5,16,258.749666666666666666666666
2021,추석,D+1,5,17,276.816000000000000000000000
2021,추석,D+1,5,18,269.541500000000000000000000
2021,추석,D+1,5,19,267.333000000000000000000000
2021,추석,D+1,5,20,250.208000000000000000000000
2021,추석,D+1,5,21,277.483000000000000000000000
2021,추석,D+1,5,22,270.683000000000000000000000
2021,추석,D+1,5,23,263.866000000000000000000000
2021,추석,D+2,6,00,225.483000000000000000000000
2021,추석,D+2,6,05,
2021,추석,D+2,6,06,227.116000000000000000000000
2021,추석,D+2,6,07,236.983000000000000000000000
2021,추석,D+2,6,08,218.400000000000000000000000
2021,추석,D+2,6,09,215.458000000000000000000000
2021,추석,D+2,6,10,225.949500000000000000000000
2021,추석,D+2,6,11,236.324500000000000000000000
2021,추석,D+2,6,12,240.983000000000000000000000
2021,추석,D+2,6,13,243.108000000000000000000000
2021,추석,D+2,6,14,249.094000000000000000000000
2021,추석,D+2,6,15,259.149666666666666666666666
2021,추석,D+2,6,16,263.166500000000000000000000
2021,추석,D+2,6,17,243.616000000000000000000000
2021,추석,D+2,6,18,254.216000000000000000000000
2021,추석,D+2,6,19,256.516000000000000000000000
2021,추석,D+2,6,20,258.800000000000000000000000
2021,추석,D+2,6,21,265.433000000000000000000000
2021,추석,D+2,6,22,300.650000000000000000000000
